work_year;experience_level;employment_type;job_title;salary_currency;employee_residence;remote_ratio;company_location;company_size;salary;salary_in_usd
2023;SE;FT;Principal Data Scientist;EUR;ES;100;ES;L;80000;85847
2023;MI;CT;ML Engineer;USD;US;100;US;S;30000;30000
2023;MI;CT;ML Engineer;USD;US;100;US;S;25500;25500
2023;SE;FT;Data Scientist;USD;CA;100;CA;M;175000;175000
2023;SE;FT;Data Scientist;USD;CA;100;CA;M;120000;120000
2023;SE;FT;Applied Scientist;USD;US;0;US;L;222200;222200
2023;SE;FT;Applied Scientist;USD;US;0;US;L;136000;136000
2023;SE;FT;Data Scientist;USD;CA;0;CA;M;219000;219000
2023;SE;FT;Data Scientist;USD;CA;0;CA;M;141000;141000
2023;SE;FT;Data Scientist;USD;US;0;US;M;147100;147100
2023;SE;FT;Data Scientist;USD;US;0;US;M;90700;90700
2023;SE;FT;Data Analyst;USD;US;100;US;M;130000;130000
2023;SE;FT;Data Analyst;USD;US;100;US;M;100000;100000
2023;EN;FT;Applied Scientist;USD;US;0;US;L;213660;213660
2023;EN;FT;Applied Scientist;USD;US;0;US;L;130760;130760
2023;SE;FT;Data Modeler;USD;US;0;US;M;147100;147100
2023;SE;FT;Data Modeler;USD;US;0;US;M;90700;90700
2023;SE;FT;Data Scientist;USD;US;0;US;M;170000;170000
2023;SE;FT;Data Scientist;USD;US;0;US;M;150000;150000
2023;MI;FT;Data Analyst;USD;US;100;US;M;150000;150000
2023;MI;FT;Data Analyst;USD;US;100;US;M;110000;110000
2023;SE;FT;Research Engineer;USD;DE;0;DE;M;275000;275000
2023;SE;FT;Research Engineer;USD;DE;0;DE;M;174000;174000
2023;SE;FT;Analytics Engineer;USD;GB;100;GB;M;230000;230000
2023;SE;FT;Analytics Engineer;USD;GB;100;GB;M;143200;143200
2023;SE;FT;Business Intelligence Engineer;USD;US;0;US;M;225000;225000
2023;SE;FT;Business Intelligence Engineer;USD;US;0;US;M;156400;156400
2023;SE;FT;Machine Learning Engineer;USD;US;0;US;M;200000;200000
2023;SE;FT;Machine Learning Engineer;USD;US;0;US;M;130000;130000
2023;SE;FT;Data Strategist;USD;CA;0;CA;M;90000;90000
2023;SE;FT;Data Strategist;USD;CA;0;CA;M;72000;72000
2023;SE;FT;Data Engineer;USD;US;0;US;M;253200;253200
2023;SE;FT;Data Engineer;USD;US;0;US;M;90700;90700
2023;SE;FT;Computer Vision Engineer;USD;US;0;US;M;342810;342810
2023;SE;FT;Computer Vision Engineer;USD;US;0;US;M;184590;184590
2023;MI;FT;Data Engineer;USD;US;0;US;M;162500;162500
2023;MI;FT;Data Engineer;USD;US;0;US;M;130000;130000
2023;MI;FT;Data Analyst;USD;US;0;US;M;105380;105380
2023;MI;FT;Data Analyst;USD;US;0;US;M;64500;64500
2023;EN;FT;Data Quality Analyst;USD;NG;100;NG;L;100000;100000
2023;EN;FT;Compliance Data Analyst;USD;NG;100;NG;L;30000;30000
2022;MI;FT;Machine Learning Engineer;INR;IN;50;IN;L;1650000;20984
2023;EN;FT;Applied Scientist;USD;US;0;US;L;204620;204620
2023;EN;FT;Applied Scientist;USD;US;0;US;L;110680;110680
2023;SE;FT;Data Engineer;USD;US;0;US;M;270703;270703
2023;SE;FT;Data Engineer;USD;US;0;US;M;221484;221484
2023;SE;FT;Data Scientist;USD;US;100;US;M;212750;212750
2023;SE;FT;Data Scientist;USD;US;100;US;M;185000;185000
2023;SE;FT;Data Scientist;USD;US;100;US;M;262000;262000
2023;SE;FT;Data Scientist;USD;US;100;US;M;245000;245000
2023;SE;FT;Data Scientist;USD;US;100;US;M;275300;275300
2023;SE;FT;Data Scientist;USD;US;100;US;M;183500;183500
2023;SE;FT;Data Scientist;USD;US;100;US;M;218500;218500
2023;SE;FT;Data Scientist;USD;US;100;US;M;199098;199098
2023;SE;FT;Data Engineer;USD;US;100;US;M;203300;203300
2023;SE;FT;Data Engineer;USD;US;100;US;M;123600;123600
