work_year;Experience_level_coded;employment_type_code;job_title_code;employee_residence;remote_ratio;company_location;company_size_numeric;salary_in_usd
2023;3;3;86;65;100;65;100;85847
2023;2;1;78;228;100;228;5;30000
2023;2;1;78;228;100;228;5;25500
2023;3;3;48;36;100;36;25;175000
2023;3;3;48;36;100;36;25;120000
2023;3;3;9;228;0;228;100;222200
2023;3;3;9;228;0;228;100;136000
2023;3;3;48;36;0;36;25;219000
2023;3;3;48;36;0;36;25;141000
2023;3;3;48;228;0;228;25;147100
2023;3;3;48;228;0;228;25;90700
2023;3;3;26;228;100;228;25;130000
2023;3;3;26;228;100;228;25;100000
2023;1;3;9;228;0;228;100;213660
2023;1;3;9;228;0;228;100;130760
2023;3;3;39;228;0;228;25;147100
2023;3;3;39;228;0;228;25;90700
2023;3;3;48;228;0;228;25;170000
2023;3;3;48;228;0;228;25;150000
2023;2;3;26;228;100;228;25;150000
2023;2;3;26;228;100;228;25;110000
2023;3;3;90;54;0;54;25;275000
2023;3;3;90;54;0;54;25;174000
2023;3;3;5;74;100;74;25;230000
2023;3;3;5;74;100;74;25;143200
2023;3;3;19;228;0;228;25;225000
2023;3;3;19;228;0;228;25;156400
2023;3;3;68;228;0;228;25;200000
2023;3;3;68;228;0;228;25;130000
2023;3;3;51;36;0;36;25;90000
2023;3;3;51;36;0;36;25;72000
2023;3;3;34;228;0;228;25;253200
2023;3;3;34;228;0;228;25;90700
2023;3;3;24;228;0;228;25;342810
2023;3;3;24;228;0;228;25;184590
2023;2;3;34;228;0;228;25;162500
2023;2;3;34;228;0;228;25;130000
2023;2;3;26;228;0;228;25;105380
2023;2;3;26;228;0;228;25;64500
2023;1;3;42;161;100;161;100;100000
2023;1;3;23;161;100;161;100;30000
2022;2;3;68;103;50;103;100;20984
2023;1;3;9;228;0;228;100;204620
2023;1;3;9;228;0;228;100;110680
2023;3;3;34;228;0;228;25;270703
2023;3;3;34;228;0;228;25;221484
2023;3;3;48;228;100;228;25;212750
2023;3;3;48;228;100;228;25;185000
2023;3;3;48;228;100;228;25;262000
2023;3;3;48;228;100;228;25;245000
2023;3;3;48;228;100;228;25;275300
2023;3;3;48;228;100;228;25;183500
2023;3;3;48;228;100;228;25;218500
2023;3;3;48;228;100;228;25;199098
2023;3;3;34;228;100;228;25;203300
2023;3;3;34;228;100;228;25;123600
2023;3;3;90;228;0;228;25;189110
2023;3;3;90;228;0;228;25;139000
2023;1;3;48;228;0;228;25;258750
2023;1;3;48;228;0;228;25;185000
2023;3;3;34;228;100;228;25;231500
2023;3;3;34;228;100;228;25;166000
2023;3;3;48;228;100;228;25;172500
2023;3;3;48;228;100;228;25;110500
2023;3;3;34;228;0;228;25;238000
